group,stock_name
鋼鐵工業,大國鋼
資訊服務業,實威
其他業,旭源
綠能環保,保綠-KY
建材營造業,惠普
其他業,紅木-KY
其他電子業,匯鑽科
生技醫療業,東生華
居家生活,弘帆
其他業,鉅邁
生技醫療業,大江
其他業,大地-KY
綠能環保,綠電
其他業,綠河-KY
文化創意業,華研
文化創意業,霹靂
其他電子業,大拓-KY
數位雲端,夠麻吉
數位雲端,創業家
其他業,三貝德
其他業,裕國
其他業,花王
油電燃氣業,欣雄
其他業,光隆
油電燃氣業,欣泰
其他業,沈氏
文化創意業,時報
運動休閒,大田
油電燃氣業,北基
運動休閒,鉅明
其他業,富堡
鋼鐵工業,青鋼
油電燃氣業,大汽電
數位雲端,智通*
運動休閒,愛地雅
其他業,邦泰
其他業,國統
其他業,合騏*
運動休閒,明安
居家生活,關中
其他業,森鉅
文化創意業,琉園
塑膠工業,萬國通
電機機械,皇田
運動休閒,邁達康
鋼鐵工業,有益
水泥工業,台泥
水泥工業,亞泥
水泥工業,嘉泥
水泥工業,環泥
水泥工業,幸福
水泥工業,信大
水泥工業,東泥
食品工業,味全
食品工業,味王
食品工業,大成
食品工業,大飲
食品工業,卜蜂
食品工業,統一
食品工業,愛之味
食品工業,泰山
食品工業,福壽
食品工業,台榮
食品工業,福懋油
食品工業,佳格
食品工業,聯華
食品工業,聯華食
食品工業,大統益
食品工業,天仁
食品工業,黑松
食品工業,興泰
食品工業,宏亞
食品工業,鮮活果汁-KY
塑膠工業,台塑
塑膠工業,南亞
塑膠工業,台聚
塑膠工業,華夏
塑膠工業,三芳
塑膠工業,亞聚
塑膠工業,台達化
塑膠工業,台苯
塑膠工業,國喬
塑膠工業,聯成
塑膠工業,中石化
塑膠工業,達新
建材營造業,上曜
車用電子指標,東陽
塑膠工業,大洋
塑膠工業,永裕
塑膠工業,地球
塑膠工業,恆大
塑膠工業,台化
塑膠工業,再生-KY
汽車工業,廣華-KY
汽車工業,昭輝
塑膠工業,勝悅-KY
塑膠工業,富林-KY
其他業,八貫
紡織纖維,遠東新
紡織纖維,新纖
IC封測指標,南染
紡織纖維,宏洲
紡織纖維,東和
其他業,廣豐
紡織纖維,嘉裕
紡織纖維,東華
紡織纖維,新紡
紡織纖維,利華
運動休閒,大魯閣
紡織纖維,福懋
其他業,中福
建材營造業,華友聯
其他業,勤益控
建材營造業,三地開發
建材營造業,雋揚
紡織纖維,南紡
紡織纖維,大東
建材營造業,名軒
其他業,立益物流
紡織纖維,力麗
紡織纖維,大宇
紡織纖維,宏和
紡織纖維,力鵬
紡織纖維,佳和
紡織纖維,年興
紡織纖維,宏益
建材營造業,大將
紡織纖維,台富
紡織纖維,集盛
建材營造業,怡華
紡織纖維,宜進
紡織纖維,聯發
紡織纖維,宏遠
紡織纖維,強盛新
紡織纖維,得力
紡織纖維,偉全
紡織纖維,聚隆
紡織纖維,南緯
紡織纖維,昶和
紡織纖維,大統新創
電子零組件業,首利
建材營造業,三洋實業
紡織纖維,台南
紡織纖維,弘裕
紡織纖維,業旺
紡織纖維,儒鴻
紡織纖維,聚陽
電機機械,士電
電機機械,東元
電機機械,正道
汽車工業,瑞利
電機機械,中興電
電機機械,亞力
電機機械,力山
其他業,川飛
電機機械,利奇
電機機械,華城
車用電子指標,大億
汽車工業,堤維西
汽車工業,耿鼎
汽車工業,江申
電機機械,日馳
電機機械,鑽全
電機機械,恩德
電機機械,樂事綠能
電機機械,亞崴
電機機械,高林股
電機機械,勤美
車用電子指標,車王電
電機機械,中宇
機械零組件指標,和大
電機機械,廣隆
電機機械,正峰
電機機械,巨庭
電機機械,喬福
電機機械,錩泰
電機機械,伸興
電機機械,中砂
汽車工業,巧新
汽車工業,倉佑
電子零組件業,信錦
電機機械,程泰
汽車工業,吉茂
電機機械,永冠-KY
機械零組件指標,亞德客-KY
軸承滑軌指標,直得
運動休閒,岱宇
電器電纜,華電
電器電纜,聲寶
電器電纜,華新
電器電纜,華榮
電器電纜,大亞
電器電纜,中電
電器電纜,宏泰
電器電纜,三洋電
連接線材指標,大山
電器電纜,億泰
電器電纜,榮星
電器電纜,合機
電器電纜,大東電
電器電纜,艾美特-KY
食品工業,南僑
生技醫療業,葡萄王
化學工業,東鹼
化學工業,和益
化學工業,東聯
光固化材料指標,永光
化學工業,興農
化學工業,國化
化學工業,和桐
半導體化學品指標,長興
化學工業,中纖
生技醫療業,生達
光固化材料指標,三晃
化學工業,台肥
化學工業,中碳
化學工業,元禎
化學工業,永記
半導體化學品指標,中華化
化學工業,花仙子
生技醫療業,美吾華
化學工業,毛寶
生技醫療業,五鼎
生技醫療業,杏輝
化學工業,日勝化
運動休閒,喬山
食品工業,臺鹽
生技醫療業,南光
生技醫療業,寶齡富錦
生技醫療業,中化生
化學工業,勝一
化學工業,展宇
生技醫療業,和康生
生技醫療業,科妍
生技醫療業,神隆
生技醫療業,美時
玻纖布指標,台玻
建材營造業,寶徠
玻璃陶瓷,冠軍
建材營造業,潤隆
玻璃陶瓷,中釉
玻璃陶瓷,和成
玻璃陶瓷,凱撒衛
造紙工業,士紙
造紙工業,正隆
造紙工業,華紙
造紙工業,寶隆
造紙工業,永豐餘
造紙工業,榮成
鋼鐵工業,中鋼
鋼鐵工業,東和鋼鐵
鋼鐵工業,燁興
鋼鐵工業,高興昌
鋼鐵工業,第一銅
鋼鐵工業,春源
鋼鐵工業,春雨
鋼鐵工業,中鋼構
鋼鐵工業,中鴻
鋼鐵工業,豐興
鋼鐵工業,官田鋼
鋼鐵工業,美亞
鋼鐵工業,聚亨
鋼鐵工業,燁輝
鋼鐵工業,志聯
鋼鐵工業,千興
鋼鐵工業,大成鋼
鋼鐵工業,威致
鋼鐵工業,盛餘
鋼鐵工業,彰源
鋼鐵工業,新光鋼
鋼鐵工業,新鋼
鋼鐵工業,佳大
鋼鐵工業,允強
鋼鐵工業,海光
軸承滑軌指標,上銀
軸承滑軌指標,川湖
居家生活,橋椿
鋼鐵工業,運錩
綠能環保,世紀風電
橡膠工業,南港
橡膠工業,泰豐
橡膠工業,台橡
橡膠工業,國際中橡
橡膠工業,正新
橡膠工業,建大
橡膠工業,厚生
橡膠工業,南帝
橡膠工業,華豐
橡膠工業,鑫永銓
汽車工業,六暉-KY
汽車工業,裕隆
汽車工業,中華
汽車工業,三陽工業
汽車工業,和泰車
航運業,台船
鋼鐵工業,長榮鋼
汽車工業,裕日車
車用電子指標,劍麟
車用電子指標,為升
汽車工業,宇隆
汽車工業,百達-KY
汽車工業,英利-KY
汽車工業,艾姆勒
汽車工業,宏旭-KY
汽車工業,汎德永業
汽車工業,華勝-KY
汽車工業,IKKA-KY
AI伺服器_電源供應,光寶科
分離式元件指標,麗正
晶圓代工指標,聯電
電腦及週邊設備業,全友
AI伺服器_電源供應,台達電
電子代工指標,金寶
印刷電路板指標,華通
通信網路業,台揚
印刷電路板指標,楠梓電
AI伺服器_系統整合,鴻海
通信網路業,東訊
光電業,中環
筆記型電腦指標,仁寶
被動元件指標,國巨*
電子代工指標,廣宇
電子代工指標,華泰
先進封裝_CoWoS,台積電
電腦及週邊設備業,精英
通信網路業,友訊
記憶體製造指標,旺宏
半導體業,光罩
半導體業,台亞
晶圓代工指標,茂矽
記憶體製造指標,華邦電
網路通訊指標,智邦
電腦通路指標,聯強
其他業,海悅
光電業,錸德
半導體封測材料指標,順德
電腦及週邊設備業,佳世達
電腦及週邊設備業,宏碁
其他電子業,鴻準
印刷電路板指標,敬鵬
筆記型電腦指標,英業達
筆記型電腦指標,華碩
其他電子業,所羅門
其他電子業,致茂
電腦及週邊設備業,藍天
半導體業,矽統
電腦及週邊設備業,倫飛
電腦及週邊設備業,昆盈
印刷電路板指標,燿華
印刷電路板指標,金像電
IC封測指標,菱生
電機機械,大同
其他電子業,震旦行
光學鏡頭指標,佳能
被動元件指標,凱美
AI伺服器_系統整合,技嘉
電腦板卡指標,微星
半導體業,瑞昱
電腦及週邊設備業,虹光
筆記型電腦指標,廣達
銅箔基板指標,台光電
週邊產品指標,群光
電腦及週邊設備業,精元
半導體業,威盛
其他電子業,云辰
電子零組件業,正崴
光電業,億光
電腦及週邊設備業,研華
電腦及週邊設備業,友通
電腦板卡指標,映泰
半導體業,凌陽
軟板指標,毅嘉
廠務工程指標,漢唐
電腦及週邊設備業,輔信
光電業,國碩
先進封裝_CoWoS,南亞科
TFT面板指標,友達
